	Frag. Sampled	Frag. Len. Min.	Frag. Len. 1st. Qu.	Frag. Len. Mean	Frag. Len. Median	Frag. Len. 3rd Qu.	Frag. Len. Max	Frag. Len. Std.	Frag. Med. Abs. Dev.	Frag. Len. 10%	Frag. Len. 20%	Frag. Len. 30%	Frag. Len. 40%	Frag. Len. 60%	Frag. Len. 70%	Frag. Len. 80%	Frag. Len. 90%	Frag. Len. 99%	Reads Sampled	Read Len. Min.	Read Len. 1st. Qu.	Read Len. Mean	Read Len. Median	Read Len. 3rd Qu.	Read Len. Max	Read Len. Std.	Read Med. Abs. Dev.	Read Len. 10%	Read Len. 20%	Read Len. 30%	Read Len. 40%	Read Len. 60%	Read Len. 70%	Read Len. 80%	Read Len. 90%	Read Len. 99%
0h_R1	2426	0.0	147.0	222.413025556	176.0	343.0	500.0	123.324042737	64.0	68.0	137.0	151.0	161.0	198.0	296.5	379.0	408.0	477.75	2426	33.0	39.0	39.5346248969	40.0	40.0	40.0	0.931183573607	0.0	38.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0
0h_R2	1977	0.0	127.0	202.324228629	166.0	302.0	500.0	123.289328647	80.0	51.0	86.0	139.0	152.0	184.0	244.0	350.8	400.0	474.48	1977	33.0	39.0	39.483055134	40.0	40.0	40.0	1.03056043187	0.0	38.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0
0h_R3	2604	0.0	148.0	226.435099846	184.0	351.0	500.0	123.294260477	69.0	68.0	136.0	152.0	168.0	210.0	300.0	382.4	412.0	478.0	2604	33.0	39.0	39.5856374808	40.0	40.0	40.0	0.794543324424	0.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0
24h_R1	2697	0.0	152.0	224.833518725	181.0	306.0	500.0	110.353899055	41.0	124.0	150.0	158.0	170.0	202.0	248.4	355.0	409.0	480.0	2697	33.0	39.0	39.5402298851	40.0	40.0	40.0	0.829982523341	0.0	39.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0
24h_R2	2433	0.0	149.0	210.357994246	169.0	279.0	500.0	106.116480502	31.0	115.0	145.0	151.0	158.0	184.0	224.4	325.0	387.0	473.72	2433	33.0	39.0	39.5080147965	40.0	40.0	40.0	0.992386494345	0.0	38.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0
24h_R3	2303	0.0	152.0	214.10855406	174.0	274.5	500.0	102.73864937	27.0	136.0	149.0	154.0	163.0	188.0	221.0	312.0	395.0	469.0	2303	33.0	39.0	39.590534086	40.0	40.0	40.0	0.764176665536	0.0	39.0	39.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0
